,Created-At,Text,Brand,Sentiment
18,2021-11-06 16:58:00,"Just took the 2nd Covid Jab by #AstraZeneca through #MOH. My body has not felt like that in a long time. There's confusion, anxiety and other feelings I cannot describe. And not my body feels heavy and hot.",Astrazeneca,0
19,2021-11-10 04:36:00,Fully vaccinated #2nddose #vaccinated #AstraZeneca #COVID19 https://t.co/u9T8Df7A6s,Astrazeneca,1
20,2021-11-10 10:22:00,"My dad also got his second dose of #AstraZeneca and same thing he also felt , but he was okay within three days.

#CovidVaccine https://t.co/ILlox0iPM8",Astrazeneca,1
21,2021-11-09 08:08:00,"got my 1st shot today. s/e body itchiness... but i already took antihistamines so i hope it goes away soon..

#CovidVaccine #AstraZeneca",Astrazeneca,0
22,2021-11-10 10:41:00,"My 1st & 2nd dose vaccine
#Imfullyvaccinated
#AstraZeneca https://t.co/jbZKBEl0UV",Astrazeneca,1
23,2021-11-10 09:08:00,Got my second jab! #FullyVaccinated #AstraZeneca https://t.co/bZ8hN6UBMf,Astrazeneca,1
24,2021-11-01 00:43:00,"1st dose done check
#AstraZeneca grabe pala side effect ??
Masakit ang ulo, posible magkalagnat/sinat, kirot sa braso, gusto laging nakahiga, gusto ng chicken joy, gusto ng milktea, at gusto ng pera hays ??",Astrazeneca,0
25,2021-11-01 03:55:00,"1st dose today. Ackkk. sakit ulo ko ????

#AstraZeneca",Astrazeneca,0
26,2021-10-31 09:25:00,"Fully vaccinated!!
#Mandavaxx
#AstraZeneca

P.S handa na ulit ako ma-bed ridden. Lols. https://t.co/PsLhtsJqyH",Astrazeneca,1
27,2021-11-07 04:42:00,"Sa mga Filo Engenes na edad 12-17 years old at hindi pa bakunado, magpabakuna na kayo ng kahit anong brand na available (Pfizer or Moderna) sa pinakamalapit niyong vaccination site ?? #Vacc2School #Resbakuna #QCProtekTODO

P.S. Fully vaccinated po ako ng AstraZeneca ??",Pfizer,1
28,2021-11-20 13:01:00,"Got my firstdose yesterday??
#AstraZeneca ???? https://t.co/lnp86IdN48",Astrazeneca,0
29,2021-11-18 11:19:00,"1st dose of Astrazenca done.
#resbakuna 
#AstraZeneca https://t.co/pPAdbDvV1P",Astrazeneca,0
30,2021-11-18 11:00:00,"So the #AstraZeneca vaccine made me tired and achy , the #Moderna booster has made me feel like I've drunk a flask full of coffee and I've turned in to a human fireball. Luckily I've got today off. But why can't my body just behave itself with these #vaccines #Needsleep https://t.co/qcdfVaQmqZ",Astrazeneca,0
31,2021-11-14 18:20:00,Done second dose vaccine. ?????? #AstraZeneca #FullyVaccinated,Astrazeneca,1
32,2021-11-07 10:04:00,"Just got my first dose! 
#AstraZeneca https://t.co/rUvijg4fGw",Astrazeneca,1
33,2021-11-06 23:55:00,"Done 2nd dose of vaccine
#AstraZeneca https://t.co/WnmxUK498E",Astrazeneca,1
34,2021-11-08 03:36:00,"2nd dose done. 

#AstraZeneca",Astrazeneca,1
35,2021-11-07 02:39:00,Fully vaccinated ?? #AstraZeneca,Astrazeneca,1
36,2021-11-13 03:55:00,Ang tindi talaga ng #AstraZeneca,Astrazeneca,0
37,2021-11-20 07:48:00,"Ayoko sayo pero ikaw ang napatapat sakin??di ko alam kung anong magiging epekto mo sakin??
#1st dose
#astrazeneca",Astrazeneca,0
38,2021-11-18 03:31:00,"Body pain, fever and headache these are the common symptoms you will feel after you have your first dose of vaccination ang tapang talaga ng #AstraZeneca sobrang sakit ng ulo ko talaga yung nsa baba lng hndi ????",Astrazeneca,0
39,2021-11-20 13:01:00,Yawa nga side effects ni hahaha #AstraZeneca,Astrazeneca,0
40,2021-11-16 19:25:00,"Gud JAB! 
Yey! Pinayagan nq ni ob..??
FullyVaccinated  @21 weeks
#AstraZeneca https://t.co/UMuIJv657B",Astrazeneca,0
41,2012-11-15 23:34:00,"Ouccchhh sakit mo naman.... 

#2ndDose
#FullyVaccinated 
#AstraZeneca https://t.co/8RYiKP008W",Astrazeneca,0
42,2021-11-15 09:37:00,"Sa wakas magpapa vaccine na ako.
#1stdose #AstraZeneca",Astrazeneca,0
43,2021-11-22 06:29:00,Yung pinatay ko na yung aircon pero nag chichills padin ako. Lupet mo talaga #AstraZeneca ????,Astrazeneca,0
44,2021-11-22 07:10:00,"Nawalan nga ng sakit, ang sakit naman ng mga muscle ko sa katawan????? iba ka talaga #AstraZeneca ??",Astrazeneca,0
45,2021-11-26 01:08:00,"Fully Vaccinated heart
#AstraZeneca https://t.co/gWs6rmJ519",Astrazeneca,1
46,2021-11-25 02:30:00,#AstraZeneca is without a doubt the best vaccine. https://t.co/9vbf2TcRgL,Astrazeneca,1
47,2021-11-20 02:53:00,Team Astra Zeneca rules. #COVID19 #AstraZeneca ??,Astrazeneca,1
48,2021-11-29 23:49:00,"1st Dose Of Astrazeneca, Check!
Fully Vaccinated, Soon. #JustGotVaccinated #BidaBakuna #Resbakuna https://t.co/JHsd8aHx04",Astrazeneca,1
49,2021-11-29 12:42:00,Finally got my second dose just now! #Moderna https://t.co/NkySkcqsbt,Moderna,1
50,2021-11-27 10:21:00,"Akala ko di ako tatablan, Akala ko lang pala yun ?????????????????? #Moderna https://t.co/RR102zJkHR",Moderna,0
51,2021-11-26 08:33:00,"anyways….

I got my second dose of vaccine yesterday and today, my whole body is aching. ??

#moderna https://t.co/ZDgN5YRmBw",Moderna,0
52,2021-11-22 12:59:00,"Second dose done! ??
#Moderna #Resbakuna #ThankYouGOD https://t.co/23WOTjoNwm",Moderna,1
53,2021-11-20 02:15:00,'di sumakit braso pero nilagnat. ?? 2nd dose done. #Moderna,Moderna,0
54,2021-11-17 14:43:00,sakit ng ulo kooooo #secondjab #moderna,Moderna,0
55,2021-11-17 11:17:00,Bigat sa pakiramdam ng 2nd dose. #Moderna,Moderna,0
56,2021-11-13 22:09:00,"after 3 years, ngayon lang ulit na feel na nilagnat.?? #Moderna",Moderna,0
57,2021-11-13 15:43:00,"Normal lang na ba 2 araw ako nilagnat after having my second dose of vaccine (moderna)? And is it normal na masakit pa din ang braso ko hanggang ngayon? I hot my vaccine last Thursday btw..

#Moderna",Moderna,0
58,2021-11-13 15:12:00,got my first dose today?#moderna,Moderna,1
59,2021-11-12 08:12:00,Got my #BoosterShots #Moderna,Moderna,0
60,2021-11-12 06:08:00,Weird na naman tong pakiramdam ko ah #moderna,Moderna,0
61,2021-11-11 22:09:00,Booster shot appointment scheduled! ???? #CovidVaccine  #RoundThree #Moderna #GetItDone,Moderna,1
62,2021-11-10 13:40:00,"Middle back ache.  #moderna.  #booster 

Uncomfortable.  Not awful.",Moderna,0
63,2021-11-09 08:08:00,"Body sore pa! Ganito pala kapag bagong turok.
#Moderna",Moderna,0
64,2021-11-09 07:52:00,Bigat mo sa braso #moderna,Moderna,0
65,2021-11-08 13:03:00,"Vaccinated na hahaha
#moderna https://t.co/oMpqoC7tyK",Moderna,1
66,2021-11-07 05:51:00,"Fully Vaccinated
#moderna

Side effect
1. Posibleng magkalagnat
2. Makirot ang brasong pinagbakunahan
3. Masakit ang ulo
4. Gusto laging matulog
5. Gusto ng Frappe
6. Gusto ng burger at fries ????
7. Gusto ng Milktea??
8. Gusto ng sushi??????
9.Gusto ng samgy ??????",Moderna,0
67,2021-11-06 22:09:00,bigat ng braso ko and may fever me kalerks #Moderna,Moderna,0
68,2021-11-02 10:51:00,"Dose 1 finally.?? Good job my guy.????•
•
•
•
•
#letsgetvaxxed #????????????ay #firstdosedone??check #moderna @ Solaire Theater https://t.co/Qu64inr5AK",Moderna,1
69,2021-11-01 14:39:00,Fully vaccinated ???? #Moderna #SecondDose #RESBAKUNA #POTD https://t.co/MnfyHTPIj2,Moderna,1
70,2021-11-01 03:27:00,"Pero wag ulit manginginig ang katawan sa madaling araw AHAHAHAHAHA

#moderna ang win",Moderna,0
71,2021-11-01 01:59:00,"Sakit lang ng braso (hopefully)
#moderna",Moderna,0
72,2021-11-01 01:27:00,Fully vaxx. #Moderna #COVID https://t.co/KniXmXKbZZ,Moderna,1
73,2021-11-01 00:00:00,I spoke too soon. Body aches and alternating chills & sweats hit me at about the 22 hour mark but lasted for only 1 day. #BoosterShots #Moderna,Moderna,0
74,2021-10-31 10:21:00,Vaccinated 1st dose #Moderna ??,Moderna,1
75,2021-10-30 02:39:00,"Ganito po ba pag #Moderna:
- konting kirot sa throat
- panghihina
(meron ring pain sa injected arm)",Moderna,0
76,2021-10-30 02:04:00,"Shet ang bigat ng braso ko nahihilo din ako!!!
#vaccinated
#Moderna",Moderna,0
77,2021-10-29 08:11:00,"Got out first dose of COVID Vaccine 
#Resbakuna #moderna @ Robinsons Place Santiago https://t.co/qraP5cwZjz",Moderna,1
78,2021-10-29 04:07:00,Update 1: began to feel a bit achy and headache a few hours later. Arm sore. Expecting to feel a bit crap tomorrow. No worries. #Moderna #FluShot #GetVaccinated,Moderna,0
79,2021-10-28 15:25:00,"Yehey! may 1st dose nadin ako ??
#Moderna #vaccinated https://t.co/hA146FdJlZ",Moderna,1
80,2021-10-28 08:50:00,Update: I can get my second dose today ^^ #Moderna,Moderna,1
81,2021-10-27 19:36:00,"Received my first dosage of Moderna on Friday. Ended up feeling a little sore & achy late Friday night & early yesterday morning. Took some ibuprofen & feeling fine today. Ready for my 2nd dosage next month. #Moderna 
#IGotThis",Moderna,0
82,2021-10-26 10:11:00,Nde na mabilang kung ilan ang sakit na naramdaman ko.. pero potek grabe to! #COVID19VaccinePH #moderna #awtsyern,Moderna,0
83,2021-10-26 03:58:00,"I feel sick today....ganun ba talaga side effect ng Vaccine?

#Moderna",Moderna,0
84,2021-10-24 19:05:00,"Normal lang ba na mainit ang ulo kapag tinurukan ng Moderna? Putcha kanina pa ako galit eh
#Moderna",Moderna,0
85,2021-10-24 04:38:00,"utas sa sama ng pakiramdam
#Moderna",Moderna,0
86,2021-10-23 23:35:00,So yun ang sakit na naman ng katawan at lagnat feels na naman. #2ndDose #Moderna,Moderna,0
87,2021-10-23 21:48:00,"Done first dose! ????

#resbakuna 
#vaccine #Moderna 
#firstdose https://t.co/UOvnRESBTG",Moderna,1
88,2021-10-23 15:02:00,"First dose. 
#Moderna",Moderna,1
89,2021-10-23 16:57:00,"Life isn't about waiting for the storm to pass, it's about learning how to dance in the rain. Don't be afraid to get vaccinated. The government has studied their plans. We must cease playing the BLAME game since our enemy is invisible.
#RESBAKUNA #PFIZER",Pfizer,1
90,2021-10-23 15:23:00,"
Fully vaxed! #RESBAKUNA #GetVaccinatedNow #Pfizer https://t.co/fi6PtaPebH",Pfizer,1
91,2021-10-23 14:15:00,"Got my first dose of the vaccine a few days ago and omfg, I’m dying #Pfizer",Pfizer,1
92,2021-10-23 12:52:00,Got my booster on the first day I was eligible. Got a flu shot at the same time.#BoosterShots #GetVaccinated #Pfizer https://t.co/lLCbh1YjT6,Pfizer,1
93,2021-10-24 10:01:00,Fully vaxxed ?? pwede na i-deploy ?? #Pfizer #vaccinated https://t.co/hFwV26BTpW,Pfizer,1
94,2021-10-24 08:42:00,"Not feeling well after my second dose yesterday. I hope I get better soon.
#FullyVaccinated #pfizer https://t.co/36b5U8Ye3T",Pfizer,0
95,2021-10-24 08:31:00,2nd dose done check #FullyVaccinated #pfizer,Pfizer,1
96,2021-10-24 08:27:00,"SECOND DOSE heart 
#pfizer https://t.co/goafqnAf5j",Pfizer,1
97,2021-10-24 07:50:00,"Oh, happy day! #VaccinesWork #Pfizer https://t.co/pTe4t83rbk",Pfizer,0
98,2021-10-24 07:05:00,"Had my First Dose of Pfizer Vaccine

#GetVaccinated #Pfizer https://t.co/6G72vFRpsG",Pfizer,1
99,2021-10-26 05:17:00,Fully vaccinated na si me!!! heart #Pfizer https://t.co/I8iPojTiXJ,Pfizer,1
100,2021-10-26 03:58:00,"I got my first dose of covid-19 vaccine
#Pfizer",Pfizer,1
101,2021-10-26 03:42:00,"Got my 1st dose today????
#Pfizer",Pfizer,1
102,2021-10-26 03:31:00,"Just got my first dose. ??
#Pfizer https://t.co/TKqCReTqlc",Pfizer,1
103,2021-10-26 03:25:00,"got my 1st dose ????
#Pfizer",Pfizer,1
104,2021-10-26 01:05:00,"1st Dose check

#Pfizer ??",Pfizer,1
105,2021-10-25 21:44:00,I got #Pfizer vaccinated. https://t.co/WPzqHdAg5W,Pfizer,1
106,2021-10-25 21:00:00,Finally 1st dose done #Pfizer,Pfizer,1
107,2021-10-25 20:41:00,2nd dose of Pfizer vaccine completed! #CovidVaccine #COVIDVaccination #Pfizer #mmu https://t.co/4CVUEWergr,Pfizer,1
108,2021-10-25 18:48:00,Finally fully vaccinated #Pfizer  ????,Pfizer,1
109,2021-10-25 18:47:00,"ang cute ng band aid!! ????

get your vaccine shots guys!!! ????

#1stDose #Pfizer https://t.co/uWdWm53tbf",Pfizer,1
110,2021-10-25 12:29:00,1st dose #vaccinated #Pfizer https://t.co/Tt1LxSJRi7,Pfizer,1
111,2021-10-31 22:50:00,"2nd dose done! ??
#fullyvaxxed 
#Pfizer https://t.co/2SLfTR6bg8",Pfizer,1
112,2021-10-31 22:31:00,"Fully Vaccinated heart Thank You, Lord! #Pfizer",Pfizer,1
113,2021-10-31 22:18:00,"2nd dose done heart
#pfizer",Pfizer,1
114,2021-10-31 22:03:00,"2nd dose done! Waiting to discharge 
#Pfizer",Pfizer,1
115,2021-10-31 21:40:00,2nd dose done!! this girl is now fully vaxxed. ?? #pfizer https://t.co/6K9GdEcGLt,Pfizer,1
116,2021-10-31 21:38:00,"got my second dose, yaaassss ?? i’m fully vaccinated!! #Pfizer",Pfizer,1
117,2021-10-31 21:36:00,"Fully vaccinated!??
#Pfizer https://t.co/IXuJm7uuKc",Pfizer,1
118,2021-10-31 21:35:00,okayy finally fully vaccinated!! #Pfizer,Pfizer,1
119,2021-10-31 21:32:00,"Booked for my second shot ??

#Pfizer #COVIDVaccination",Pfizer,1
120,2021-10-31 21:29:00,"Worst immediate effects of #Pfizer dose 1
• temporary numbness on RHS face + around right eye 
• bruised feeling on head+tender heaviness with phantom headaches
• throat tightness,like someone firmly but slowly strangling your neck
• lightheaded
• pins+needles in vaccine arm https://t.co/DF9pCdyvRg",Pfizer,0
121,2021-10-31 17:57:00,"Finally #vaccinated … YaaaaaaaaaaaaaY ????????????
#Pfizer
#Covid_19",Pfizer,1
122,2021-10-31 17:30:00,"Body pain and fever??
#Pfizer",Pfizer,0
123,2021-10-31 17:10:00,"Second Dose is coming????
#Pfizer",Pfizer,1
124,2021-10-31 16:47:00,Got my jab #GetVaccinated #Pfizer,Pfizer,1
125,2021-10-31 16:30:00,"Finally I got my second dose vaccination!!??

#Pfizer #GetVaccinated 
#COVIDVaccination https://t.co/8CI9FBFCgD",Pfizer,1
126,2021-10-31 15:32:00,"Finally! Im done with my second dose of vaccine.

#pfizer. https://t.co/6D8ZfX4PKE",Pfizer,1
127,2021-10-31 15:31:00,Got my first dose of vaccine.??#pfizer,Pfizer,1
128,2021-10-26 19:58:00,"FULLY VACCINATED 
2ND DOSE DONE??
#FullyVaccinated 
#Pfizer https://t.co/N4913ogYYk",Pfizer,1
129,2021-10-26 19:56:00,Got my first shot of #Pfizer today!,Pfizer,1
130,2021-10-26 19:46:00,Bring it! Let’s wrap this up!!! #COVID #Pfizer https://t.co/lRUyYRHOgY,Pfizer,1
131,2021-10-26 19:43:00,"Got my 1st vaccine ????
#Pfizer #GetVaccinated https://t.co/o7g3zoOwR1",Pfizer,1
132,2021-10-26 19:30:00,Undesired side effects brought to you by #pfizer https://t.co/M4vCOV0g3A,Pfizer,0
133,2021-10-26 19:30:00,Done check with my first vaccine dose #Pfizer Currently at 60% of my full powers now ?? https://t.co/IN4Ue6OmZq,Pfizer,1
134,2021-10-26 19:29:00,Thank goodness for #Pfizer https://t.co/WvLvEC4DMh,Pfizer,1
135,2021-10-26 19:07:00,"First dose
team #Pfizer https://t.co/WHIV7lSiDL",Pfizer,1
136,2021-10-26 19:00:00,Fully vaccinated heart #pfizer,Pfizer,1
137,2021-10-26 18:30:00,Just had my second covid shot! Woohoo I’m finally fully vaxxed! #Pfizer #GetVaccinated,Pfizer,1
138,2021-10-26 18:30:00,just got vaxxed #pfizer ??,Pfizer,1
139,2021-10-25 20:20:00,"Vaccination later??????
#COVID19 
#Pfizer",Pfizer,1
140,2021-10-25 20:17:00,"#NewProfilePic

Finally Vaccinated!?? #Pfizer https://t.co/ErnbqFIMOf",Pfizer,1
141,2021-10-25 20:05:00,1st dose brought everything back 2nd dose of #Pfizer knocked out my senses again. All I ask for Christmas is to be normal. Food just isn’t appealing anymore & I feel like a zombie watching people enjoy their food & then there’s me ?? “does it taste really good?”?? #COVID19,Pfizer,0
142,2021-10-25 20:00:00,"got my second dose today! 
#vaccinated #Pfizer https://t.co/nzGu4IfmzF",Pfizer,1
143,2021-10-25 19:54:00,Omg i feel like shit. Eff u #Pfizer,Pfizer,0
144,2021-10-24 18:08:00,"Fully Vaccinated??thanks gheart
#Pfizer",Pfizer,1
145,2021-10-24 18:06:00,"Finally got my 2nd dose of #Pfizer vaccine today. Took a day off from work & now taking things easy as I’m expecting the worst side effects. My arm is also more painful than the first one so if this persists, I won’t be playing & streaming today. #StaySafeStayHealthy",Pfizer,0
146,2021-10-24 17:59:00,"Got my 1st dose ,???? #Pfizer #vaccine https://t.co/OlqjyVfnqF",Pfizer,1
147,2021-10-24 17:34:00,Fully vaccinated #Pfizer,Pfizer,1
148,2021-10-24 01:32:00,"Done with my 1st jab ?? Got vaccinated! check?
#Pfizer https://t.co/8M9r1piL3B",Pfizer,1
149,2021-10-23 20:00:00,I got my 1st dose vaccine today.?? #Pfizer,Pfizer,1
150,2021-10-23 20:00:00,Fully Vaccinated check #Pfizer #FullyVaccinated,Pfizer,1
151,2021-10-23 19:49:00,Second dose of #Pfizer https://t.co/aiOiPFpXie,Pfizer,1
152,2021-10-23 19:34:00,"My 2nd dose Vaccination heart??
#pfizer
#bakuna https://t.co/8Y78S6KarT",Pfizer,1
153,2021-10-23 19:30:00,"Full Vaxx ??

#Pfizer https://t.co/j8lNjFvhM5",Pfizer,0
154,2021-10-28 05:30:00,"2 dose check!
#pfizer",Pfizer,1
155,2021-10-28 02:44:00,1st dose done #Pfizer ??,Pfizer,1
156,2021-10-28 01:15:00,Get vaccinated ?? #Pfizer #vaccine  heart https://t.co/BedNzG5Gyg,Pfizer,1
157,2021-10-27 22:24:00,"Fully Vaccinated heart 
#Pfizer",Pfizer,1
158,2021-10-27 21:30:00,"Fully vaccinated heart??

#Pfizer #CebuCity https://t.co/ftZSakB69S",Pfizer,1
159,2021-10-27 21:30:00,Got my 1st dose of vaccine. ?? #pfizer yarn ??,Pfizer,1
160,2021-11-07 07:34:00,I got my jab. Get vaccinated and saved lives. #vaccinated #VaccinesWork #Pfizer #GetVaccinated,Pfizer,1
161,2021-11-06 22:09:00,Wow. #Pfizer = pure evil https://t.co/sDY621SwWS,Pfizer,0
162,2021-11-06 16:58:00,"THANKS G ! ????
#FullyVaccinated 
#Pfizer https://t.co/xJOxQXnMsT",Pfizer,1
163,2021-11-09 23:04:00,got my 1st dose of vaccine ??  #Pfizer,Pfizer,1
164,2021-11-10 13:40:00,Yay fully vaccinated na! ?? #Pfizer,Pfizer,1
165,2021-11-09 11:53:00,2nd dose check #pfizer??,Pfizer,1
166,2021-11-10 14:38:00,"Fully vaccinated??

#Pfizer",Pfizer,1
167,2021-11-10 01:05:00,"1st dose done ??

#vaccinationdonecheck? #pfizer https://t.co/z8RU74J1pS",Pfizer,1
168,2021-11-09 22:12:00,check fully vaccinated #Pfizer,Pfizer,1
169,2021-11-08 03:36:00,2nd dose DONE. #pfizer,Pfizer,1
170,2021-11-08 00:28:00,Heading out in a few to get my second dose of #Pfizer vaccine. heart??,Pfizer,1
171,2021-11-07 23:59:00,"Just woke up to a slight fever
It has been 12 hours since my second #Pfizer COVID vaccine dose and I haven't had any side effects besides a slightly sore arm that was nowhere near as bad as the first shot until I dozed off. Still much more preferable to infection #VaccinesWork",Pfizer,0
172,2021-11-07 04:54:00,2 dose check ??check #Pfizer,Pfizer,1
173,2021-11-07 02:39:00,"I got vaccinated??heart fully!
#Pfizer https://t.co/OFLPt3apMG",Pfizer,0
174,2021-11-12 08:12:00,Fully vaccinated!!???? #Pfizer,Pfizer,1
175,2021-11-11 15:57:00,"Fully vaccinated heart

Taga Imus yarn???
#Pfizer https://t.co/ARQeM7KosC",Pfizer,1
176,2021-11-10 11:53:00,Got my 1st dose???? #Pfizer https://t.co/KgIiqRrXE0,Pfizer,1
177,2021-11-09 21:56:00,finally got it ???? #Vaccinated #Pfizer https://t.co/LbHpDOdGSS,Pfizer,1
178,2021-11-09 08:08:00,1st dose done.. ?? #Pfizer.. https://t.co/E6IlPPQloE,Pfizer,1
179,2021-11-08 12:15:00,"Second dose check
#Pfizer team https://t.co/T9spaxsO5q",Pfizer,1
180,2021-11-13 14:38:00,"Good morning! Vaccination Day 
#Pfizer",Pfizer,1
181,2021-11-13 10:48:00,Vaccinated na rin ?? #Pfizer,Pfizer,1
182,2021-11-14 22:26:00,"It's vaccination day! ??heart
#2ndDose #Pfizer",Pfizer,1
183,2021-11-13 22:09:00,"2nd Dose ??
Fully Vaccinated ??
#PfizerBiontech https://t.co/w6yiymuUF0",Pfizer,1
184,2021-11-12 06:08:00,"2nd dose, done!????
#PfizerBioNTech",Pfizer,1
185,2021-11-10 14:24:00,"Second dose done ??check?
#fullyvaccinated
#PfizerBioNTech https://t.co/OwlCMpRh4H",Pfizer,1
186,2021-11-10 10:47:00,fully vaccinated ?? #PfizerBioNTech,Pfizer,1
187,2021-11-09 16:07:00,"Yay! Fully Vaccinated!

#PfizerBiontech",Pfizer,1
188,2021-11-16 10:22:00,Grabe second dose ng #Pfizer sakin ilang oras palang dama ko na agad ang side effects huehue bigat na agad braso ko mama??,Pfizer,0
189,2021-11-15 20:46:00,"1st dose of vaccineheart
#Pfizer  laban covid.para balik na ang dating mundo??heart???? https://t.co/9oliO2xz47",Pfizer,1
190,2021-11-15 16:34:00,"ang bigat ng braso pero Thank You, Lord! #FullyVaccinated #Pfizer",Pfizer,0
191,2021-11-15 14:10:00,Bigat mo sa braso #Pfizer #1stDose,Pfizer,0
192,2021-11-15 13:21:00,"????? Knockout sa second jab!??heart Kamuntik ko na ma perfect score ang mga adverse effect. ?? ??

?? Getting well dude! ???? #PfizerBioNTech #Pfizer https://t.co/9IHO1yAFBW",Pfizer,1
193,2021-11-15 12:49:00,Daw gibugbog braso ko. Inject lang gani yun. Hahahaha! #Pfizer,Pfizer,0
194,2021-11-14 04:08:00,parang sinuntok braso ko ah. hahhaa. #Pfizer??,Pfizer,0
195,2021-11-13 14:55:00,JUSKOOOO SABAY SABAY LAHAT 2ND DOSE PA #FullyVaccinated #Pfizer ??????,Pfizer,1
196,2021-11-19 09:02:00,"thank you Lord 1st dose done.
Magpabakuna para lahat protektado.
#Pfizer https://t.co/dEiD04EFd9",Pfizer,1
197,2021-11-19 02:52:00,"sobrang bigat sa pakiramdam ng second dose sakit sa katawan para akong binugbog at nilalagnat??
#Pfizer #Pfizervaccine #PfizerBiontech",Pfizer,0
198,2021-11-18 20:30:00,Grateful doesn’t even begin to cover it. #Vaccinated #ThankYouScience #Pfizer https://t.co/9IMZT6mnph,Pfizer,1
199,2021-11-18 19:55:00,#Pfizer 2nd dose done ???? https://t.co/nQpXJw6At4,Pfizer,1
200,2021-11-18 12:19:00,"Fully Vaccinated check??
#Pfizer",Pfizer,1
201,2021-11-18 08:24:00,"I have been #vaccinated with #Pfizer, now I feel more sure",Pfizer,0
202,2021-11-18 00:52:00,"Got my first dose.

#Pfizer 
#GetVaccinated",Pfizer,1
203,2021-11-17 22:31:00,"so yeah, it's confirmed. i'm getting vaccinated on monday. ??

#StaySafe 
#GetVaccinated
#Pfizer https://t.co/hEPHP6Mh1g",Pfizer,1
204,2021-11-17 21:22:00,fully vaccinated ??heart #Pfizer,Pfizer,1
205,2021-11-24 08:57:00,"First Dose Done

 pfizer 

#Pfizer",Pfizer,1
206,2021-11-24 06:19:00,FIRST DOSE. heart?? #Pfizer,Pfizer,1
207,2021-11-24 06:11:00,Yaaas! Fully vaxx?? #pfizer https://t.co/zVTS2Bc926,Pfizer,1
208,2021-11-23 12:05:00,"I'M FULLY VACCINATED. 

#Pfizer https://t.co/ospsuvchHt",Pfizer,1
209,2021-11-20 20:17:00,"FULLY VAXED!!??heart

#pfizer https://t.co/Cpz5BCU0Dh",Pfizer,1
210,2021-11-20 16:39:00,"check fully vaxxed ????
#Pfizer #vaccinated https://t.co/WcTllqmOeS",Pfizer,1
211,2021-11-20 12:40:00,Fully vaccinated at last! heart?? #Pfizer https://t.co/15VpKHWwFq,Pfizer,1
212,2021-11-19 19:59:00,"I just got vaccinated heart #Pfizer  BTW Good morning guys heartheart

-??",Pfizer,1
213,2021-11-18 17:24:00,"?? Got fully vaccinated yesterday! ?? #pfizer (at Kabankalan, Negros Occidental) https://t.co/BZUOyfihIG https://t.co/HxjlIPLzGk",Pfizer,1
214,2021-11-17 15:43:00,Will get my 2nd dose next week. ???? #Pfizer #GetVaccinatedNow https://t.co/0haIxHxfqS,Pfizer,0
