,Unnamed: 0,Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id,Unnamed: 12,Sentiment
20,20,2022-01-23 13:32:17,PIA Gitnang Luzon,846487933,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"Kung mahal mo ang kapwa mo, hindi mo sila hahayaang malagay sa bingit ng kapahamakan. ??

Ipakita ang pagmamahal at malasakit sa ibang tao sa pagsusuot ng mask! ?

Tandaan: Kahit Bakunado, Pag-iingat itodo! ?

#RESBAKUNA
#BIDASolusyonPLUS
#BIDAAngMayDisiplina https://t.co/JbdufZAXJn",,,0.0,1.48512320028761e+18,,0
21,21,2022-01-23 12:57:55,PCOO Global Media Affairs,1.0707032020587E+018,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: Samantala, patuloy namang pinalalawak ng pamahalaan ang sakop ng pagbabakuna upang mas mabilis makamit ng bansa ang population�",,,1.0,1.4851145504335e+18,,1
22,22,2022-01-23 10:42:05,@Zamboanga City Police Station 3(Sangali),2826135566,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @DOHgovph: Philippine Disaster Resilience Foundation, at Zed Philippines.

Basta Bakunado, Panalo! Kaya magpa-ResBakuna na! ?

#Bakunado�",,,1.0,1.48508036771155e+18,,1
23,23,2022-01-23 00:29:46,Chynlyn Rodeo,3706216813,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Booster shot ?? grabe ang side effects sa akoa, chills, fever & all the -aches. Mao diay daghan nang back out magpa booster. Hihi ???Astra(1st&2nd dose) to Moderna(booster)? #resbakuna #moderna https://t.co/C0jxRoHT2z",,,0.0,1.48492627326915e+18,,0
24,24,2022-01-22 21:06:00,PIA Gitnang Luzon,846487933,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"TIGNAN: Nasa 586,384 na ang nakatanggap ng first dose sa Bataan habang 535,826 naman ang fully vaccinated na. Nasa 90,435 na din ang tumanggap ng booster shot. 

#RESBAKUNA  
#BIDABakunation  
#BIDASolusyon+
#explainexplainexplain https://t.co/esbacsOwCp",,,0.0,1.48487499387164e+18,,1
25,25,2022-01-22 20:34:15,PIA Desk,525171812,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Pinaigting ng gobyerno ang pagbabakuna sa pamamagitan ng pag-talaga sa mga piling botika at klinika upang maging COVID-19 vaccination sites para sa booster shots o tinatawag na �Resbakuna sa mga Botika�.
https://t.co/qGdkci1KxL
#RESBAKUNA #BIDABakunation",,,1.0,1.48486700248139e+18,,1
26,26,2022-01-22 20:34:06,Navotas City,150876668,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"NAVOBAKUNA | Narito po ang schedule ng ating pagbabakuna sa Lunes, 24 January 2022. Kung kayo ay residente o empleyado sa Navotas na magpababakuna ng first dose, magparehistro sa https://t.co/85OtP577bL

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/cV6WBM8nJQ",,,0.0,1.48486696567217e+18,,1
27,27,2022-01-22 16:57:05,todobiranews,2977153027,,-1.0,tl,<a href='https://ifttt.com' rel='nofollow'>IFTTT</a>,"Philippine Disaster Resilience Foundation, at Zed Philippines.

Basta Bakunado, Panalo! Kaya magpa-ResBakuna na! ?

#BakunadoPanalo
#RESBAKUNA
#BIDASolusyon Plus sa COVID-19
#BIDAangMayDisiplina",,,0.0,1.48481234912301e+18,,1
28,28,2022-01-22 09:18:47,Amboy Mendoza,2576456064,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"PANDEMIC CONTROL pa ba ang nangyayari o TOTALITARIANISM na?

#kasaysayan #Philippines #Resbakuna #DOH #Duterte",,,0.0,1.48469701390017e+18,,1
29,29,2022-01-22 08:00:01,Navotas City,150876668,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"NAVOBAKUNA | Sa tala ng ating City Health Office, 202,037 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 179,153 na ang nakakumpleto ng dalawang doses at 39,574 na ang nakatanggap ng booster.

#NavoBakuna
#RESBAKUNA
#BIDABakunation
#BIDASolusyon+ https://t.co/CmGWWa7exO",,,0.0,1.48467719475235e+18,,1
30,30,2022-01-21 18:00:01,PIA Desk,525171812,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Booster shots, hindi makakaapekto sa resulta ng COVID-19 RT-PCR at Antigen tests.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/lBze43sREo",,,0.0,1.48446580094161e+18,,1
31,31,2022-01-21 17:30:00,PIA Desk,525171812,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Kumustahin ang COVID-19 vaccination drive sa Province of Southern Leyte.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/BOVxmUvlwF",,,0.0,1.48445824628277e+18,,1
32,32,2022-01-21 16:43:39,#labapilipinas,1441706695,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @riazen: Booster vaxx done! ? Thank you #Manila LGU and yorme @IskoMoreno @ManilaPIO

Magpabooster na.. sa Kartilya ng Katipunan near Ma�",,,1.0,1.48444658393693e+18,,1
33,33,2022-01-21 16:33:42,Presidential Communications Operations Office,192849591,pcoogov,192849591.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Samantala, patuloy namang pinalalawak ng pamahalaan ang sakop ng pagbabakuna upang mas mabilis makamit ng bansa ang population protection.

#workingPCOO 
#RESBAKUNA+ 
#WeRiseAsOne",,,1.0,1.48444407679132e+18,,1
34,34,2022-01-21 16:00:01,PIA Desk,525171812,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Mas effective nga ba ang protein-based na COVID-19 vaccine?
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/hnDSHmCUAx",,,0.0,1.48443560115578e+18,,1
35,35,2022-01-21 15:56:23,PIA Gitnang Luzon,846487933,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"Kung mahal mo ang kapwa mo, hindi mo sila hahayaang malagay sa bingit ng kapahamakan. ??

Ipakita ang pagmamahal at malasakit sa ibang tao sa pagsusuot ng mask! ?

Tandaan: Kahit Bakunado, Pag-iingat itodo! ?

#RESBAKUNA
#BIDASolusyonPLUS
#BIDAAngMayDisiplina https://t.co/jOsaKpRbkp",,,0.0,1.48443468768668e+18,,0
36,36,2022-01-21 15:33:24,R????? O????A ?,1293782659,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @bcs_gov: TINGNAN: Narito ang mga dapat malaman tungkol sa �No Vaccination, No Ride� policy na umiiral ngayon sa National Capital Region�",,,3.0,1.48442890112036e+18,,1
37,37,2022-01-21 15:20:49,Navotas City,150876668,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"NAVOBAKUNA | Narito po ang listahan ng mga naka-schedule mabakunahan bukas, 22 January: https://t.co/3keXHwHZtx

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/cqO7hCsDrZ",,,0.0,1.48442573477316e+18,,0
38,38,2022-01-21 13:11:14,Bureau of Communications Services PH,1.08796804259485E+018,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Masasabi ng graduating college student na si King Earl Pua na nasuportahan naman nang maayos ng pamahalaan ang ekonomiya ngayong may COVID-19 pandemic. 

#BCSpolls #COVID19 #LagingHandaPH #Omicronvariant #BayanihanBakunahan #Resbakuna #BIDAsolusyon #BCS https://t.co/GlFTOY5JBz",,,0.0,1.48439312527593e+18,,1
39,39,2022-01-21 12:47:48,DOH CHD - Bicol,1.09369176297811E+018,dohbicol,1.09369176297811e+18,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,", at Zed Philippines.
Basta Bakunado, Panalo! Kaya magpa-ResBakuna na! ?
#BakunadoPanalo
#RESBAKUNA
#BIDASolusyon Plus sa COVID-19
#BIDAangMayDisiplina",,,0.0,1.48438722895269e+18,,1
40,40,2022-01-21 12:36:22,2nd Zamboanga City Mobile Force Company Seaborne,1.35685763145796E+018,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @DOHgovph: Basahin ang mga FAQs na ito para sa karagdagang impormasyon ukol sa vaccination rollout sa mga botika! ?

#RESBAKUNA
#BIDASol�",,,6.0,1.48438435311979e+18,,0
41,41,2022-01-21 12:36:13,2nd Zamboanga City Mobile Force Company Seaborne,1.35685763145796E+018,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @DOHgovph: Basahin ang mga FAQs na ito para sa karagdagang impormasyon ukol sa vaccination rollout sa mga botika! ?

#RESBAKUNA
#BIDASol�",,,6.0,1.4843843150439e+18,,0
42,42,2022-01-21 12:00:38,Department of Health,186347409,DOHgovph,186347409.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Philippine Disaster Resilience Foundation, at Zed Philippines.

Basta Bakunado, Panalo! Kaya magpa-ResBakuna na! ?

#BakunadoPanalo
#RESBAKUNA
#BIDASolusyon Plus sa COVID-19
#BIDAangMayDisiplina",,,1.0,1.48437535734016e+18,,1
43,43,2022-01-21 11:28:22,PHRC Secretariat Philippines,1.1031010075658E+018,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"RT @pcoogov: TINGNAN: Nagsimula na ang pilot testing ng Resbakuna Sa Botika' ngayong araw, Enero 20. Tatagal ito hanggang Enero 21 sa ilang�",,,6.0,1.48436723697854e+18,,0
44,44,2022-01-21 11:27:36,PHRC Secretariat Philippines,1.1031010075658E+018,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"RT @pcoogov: TINGNAN: Magsasagawa ang pamahalaan, sa pamamagitan ng @DOTrPH at @MMDA, ng mobile COVID-19 vaccination drive para sa mga comm�",,,6.0,1.48436704341134e+18,,1
45,45,2022-01-21 10:22:20,??? ?,34162922,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Booster vaxx done! ? Thank you #Manila LGU and yorme @IskoMoreno @ManilaPIO

Magpabooster na.. sa Kartilya ng Katipunan near Manila City Hall, open for bikers, motor riders, kahit nakascooter! Mabilis lang at may choices pa ng vax brand ?

#Resbakuna
#vaccination https://t.co/K3CO9sXs87",,,1.0,1.48435061981749e+18,,1
46,46,2022-01-21 10:00:01,PIA Desk,525171812,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"3-months matapos makumpleto ang COVID-19 vaccine, puwede nang magpa-booster ang mga pregnant at breastfeeding women.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/hbabAzVaWz",,,0.0,1.48434500490654e+18,,1
47,47,2022-01-21 09:51:18,Nidgil,3267165673,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @bcs_gov: TINGNAN: Narito ang mga dapat malaman tungkol sa �No Vaccination, No Ride� policy na umiiral ngayon sa National Capital Region�",,,3.0,1.48434281281685e+18,,1
48,48,2022-01-21 09:43:10,LRT2,539723208,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @bcs_gov: TINGNAN: Narito ang mga dapat malaman tungkol sa �No Vaccination, No Ride� policy na umiiral ngayon sa National Capital Region�",,,3.0,1.48434076581576e+18,,1
49,49,2022-01-21 09:14:39,Bureau of Communications Services PH,1.08796804259485E+018,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"TINGNAN: Narito ang mga dapat malaman tungkol sa �No Vaccination, No Ride� policy na umiiral ngayon sa National Capital Region habang ito ay nasa ilalim ng Alert Level 3.
�
#IntheKnow #COVID19 #LagingHandaPH #Omicronvariant #BayanihanBakunahan #Resbakuna #BIDAsolusyon #BCS https://t.co/eaLp0fAdQv",,,3.0,1.48433358949171e+18,,1
50,50,2022-01-21 08:45:07,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Simulan na ang pediatric COVID-19 vaccination drive sa Cebu City.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/RtizoZfEFs",,,0.0,1.48432615600635e+18,,1
51,51,2022-01-21 08:44:36,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Sputnik V na COVID-19 vaccine, bawal sa mga pregnant at breastfeeding women.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/zL1q70Mgyd",,,0.0,1.48432602664987e+18,,1
52,52,2022-01-21 08:44:13,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Ligtas ang bakuna laban sa COVID-19 para sa mga pregnant at breastfeeding women.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/f1gi1ghyQc",,,0.0,1.48432592673311e+18,,1
53,53,2022-01-21 08:44:03,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"56.4 million na ang fully-vaccinated individuals sa Pilipinas.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/SeFrkVZG37",,,0.0,1.48432588869084e+18,,1
54,54,2022-01-21 08:41:26,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Positibo ang pananaw ni San Remigio, Antique Mayor Margarito Mission, Jr. na malapit na nilang maabot ang herd immunity.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/n5HrEFfNrA",,,0.0,1.48432522975722e+18,,1
55,55,2022-01-21 08:41:15,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Walang epekto sa fertility at menstruation cycle ang pagpapaturok ng COVID-19 vaccine.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/5t2ojVbVo7",,,0.0,1.48432518002955e+18,,1
56,56,2022-01-21 08:41:03,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Maipararating ng lokal na pamahalaan ng San Remigio, Antique ang mga bakuna sa malalayong barangay sa tulong ng Philippine Air Force.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/1THDeLD3WA",,,0.0,1.4843251302935e+18,,1
57,57,2022-01-21 08:40:58,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Bukod sa mga insentibo, libre din ang transportasyon para sa mga taga- San Remigio, Antique na mga magpapabakuna.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/eg6Xv5dB3h",,,0.0,1.48432510900328e+18,,1
58,58,2022-01-21 08:40:47,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Basahin: Ang update ni Mayor Margarito Mission, Jr. ukol sa bilang ng mga nabakunahan sa San Remigio, Antique.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/dSYpID0YQF",,,0.0,1.48432506666172e+18,,1
59,59,2022-01-21 08:40:42,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Kahit anong brand ng bakuna epektibo sa paglaban sa COVID-19.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/Mem4fhHBUK",,,0.0,1.48432504433544e+18,,1
60,60,2022-01-21 08:40:33,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Mabigat na parusa at malaking multa ang ipapataw sa mga namemeke ng vaccination cards.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/lRYhZOPqLx",,,0.0,1.48432500698103e+18,,1
61,61,2022-01-21 08:40:22,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Mas maraming bakunado para panalo tayo.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/BcHFkUJqwE",,,0.0,1.48432495971535e+18,,1
62,62,2022-01-21 08:39:07,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: Dagdag pa ni Sec. Duque, lahat ng COVID-19 vaccines sa bansa ay dumaan sa mabusising proseso ng ating mga regulatory agencies�",,,1.0,1.48432464446314e+18,,1
63,63,2022-01-21 08:38:41,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Magsasagawa ang pamahalaan, sa pamamagitan ng @DOTrPH at @MMDA, ng mobile COVID-19 vaccination drive para sa mga comm�",,,6.0,1.48432453785232e+18,,1
64,64,2022-01-21 08:38:32,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @ntfcovid19ph: Gov�t launches �Resbakuna sa mga Botika� in Metro Manila to fast track COVID-19 booster administration

Read here: https:�",,,2.0,1.48432449756177e+18,,1
65,65,2022-01-21 08:38:25,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: Dagdag pa niya, malaki ang maidadagdag nito sa mga ginagawa ng lokal na pamahalaan na pagtuon sa pagbabakuna ng kani-kanilang�",,,1.0,1.48432447007656e+18,,1
66,66,2022-01-21 08:36:58,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,RT @pcoogov: TINGNAN: Sinabi ni Pasig City Administrator Atty. Jeronimo Manzanero na buo ang suporta ng kanilang lokal na pamahalaan sa kam�,,,2.0,1.48432410350277e+18,,1
67,67,2022-01-21 08:36:51,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: Nitong Enero 17, mahigit limang milyong booster shots na ang naibakuna sa buong bansa.

#workingPCOO
#RESBAKUNA
#WeRiseAsOne",,,1.0,1.48432407480953e+18,,1
68,68,2022-01-21 08:36:04,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Nagsimula na ang pilot testing ng Resbakuna Sa Botika' ngayong araw, Enero 20. Tatagal ito hanggang Enero 21 sa ilang�",,,6.0,1.48432387748431e+18,,0
69,69,2022-01-21 08:35:07,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: Ayon kay Sec. Dizon, plano ng gobyerno na dalhin rin sa iba pang mga lugar sa bansa ang �Resbakuna Sa Botika�, pero depende it�",,,1.0,1.48432363893749e+18,,1
70,70,2022-01-21 08:34:57,PIA-Caraga,630857697,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @PIADesk: Simula ang pagbabakuna kontra COVID-19 sa 2 pilot na medical clinic sa NCR ngayong araw, Enero 20, 2022! 
 
Basahin ang mga FA�",,,2.0,1.48432359870565e+18,,1
