,Unnamed: 0,Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id
10,10,2021-12-06 22:03:52,Onie,1.45941653065631e+18,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Got my 1st dose?
#Sinovac",,,0,1.46785732572987e+18
11,11,2021-12-13 10:23:33,Den Tan ii,2990398322.0,getrealdennis,2990398322.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"BIDA Solusyon. Mag #Resbakuna na

#70thMissUniverse 
#MissUniverse 
#MissUniversePhilippines2021 
#",,,0,1.47021779867255e+18
12,12,2021-12-13 10:02:12,Department of Health,186347409.0,DOHgovph,186347409.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Ibigay natin ang regalo ng mas ligtas na Pasko sa bawat pamilyang Pilipino sa pamamagitan ng bayanihan! ?
Mag-register sa link na ito: https://t.co/nA5WEz6kix
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado",,,0,1.47021242785786e+18
13,13,2021-12-13 08:44:42,Department of Health Central Luzon,1.42306397267298e+18,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Mas ligtas ang simbang gabi kapag bakunado ka, beh! ??

Kasama ng mask, hugas, iwas, at airflow, magpa-ResBakuna na!

Hikayatin na rin ang buong pamilya, lalo na sina lolo�t lola, dahil protektado ang pasko ng pamilyang bakunado! ?

#RESBAKUNA
#LigtasChristmas https://t.co/zbz5nynoQR",,,0,1.47019292173962e+18
14,14,2021-12-12 20:09:31,juio_hztttao2215,8.32316636472418e+17,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @PIADesk: Wala pang naitatala na nasawi dahil sa pagpapaturok ng COVID-19 vaccine.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExp�",,,3,1.47000287689037e+18
15,15,2021-12-12 13:43:05,PIA Gitnang Luzon,846487933.0,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"Sama-sama muli nating tulungang bakunahan ang bawat komunidad sa darating na National Vaccination Days 2 mula December 15-17! ?
 
#BayanihanBakunahan
#Resbakuna https://t.co/BfVnGV9Xq7",,,0,1.46990562714513e+18
16,16,2021-12-12 13:03:48,2nd Zamboanga City Mobile Force Company Seaborne,1.35685763145796e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @DOHgovph: Mag-register sa link na ito: https://t.co/nA5WEyPhgx
 
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado",,,2,1.46989574149391e+18
17,17,2021-12-12 11:00:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Naabot na ang target na population protection sa Tagaytay City.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/bvxbcFlyfY",,,0,1.46986458457193e+18
18,18,2021-12-12 10:19:13,@Zamboanga City Police Station 3(Sangali),2826135566.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @DOHgovph: Mag-register sa link na ito: https://t.co/nA5WEyPhgx
 
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado",,,2,1.46985432326167e+18
19,19,2021-12-12 09:18:54,Ministry of Health - BARMM,1.26528995093041e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"TATLONG araw nalang, Bayanihan Bakunahan PART 2 na. Muling makiisa sa ikalawang yugto ng National Vaccination Days sa Dec. 15 hanggang Dec. 17, 2021.
#bayanihanbakunahan
#HeroesGetVaxxed
#resbakuna
#BayaniAngBakunado
#BakunaBayaniTayo
#ResbakunaSaPasko
#bangsamorogovernment https://t.co/doXG0AvsMW",,,0,1.46983914403387e+18
20,20,2021-12-12 09:00:01,PIA Desk,525171812.0,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Wala ngang COVID-19, malalang adverse effect naman ang kahaharapin kapag ang third COVID-19 vaccine shot at booster dose ay minadali.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/uwRHCPPAWB",,,0,1.4698343903185e+18
21,21,2021-12-12 08:34:22,GaVrex,7.66941634151932e+17,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @PIADesk: Wala pang naitatala na nasawi dahil sa pagpapaturok ng COVID-19 vaccine.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExp�",,,3,1.46982793596859e+18
22,22,2021-12-11 22:00:02,PIA Desk,525171812.0,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Wala pang naitatala na nasawi dahil sa pagpapaturok ng COVID-19 vaccine.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/SPLYACVlub",,,3,1.46966830124037e+18
23,23,2021-12-11 20:02:42,Department of Health,186347409.0,DOHgovph,186347409.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Mag-register sa link na ito: https://t.co/nA5WEyPhgx
 
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado",,,2,1.46963877410808e+18
24,24,2021-12-11 19:54:25,Paulolisjr,1.46370865048946e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17,�",,,153,1.46963668857819e+18
25,25,2021-12-11 19:41:27,PIA Gitnang Luzon,846487933.0,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"Mas ligtas ang simbang gabi kapag bakunado ka! ??

Kasama ng mask, hugas, iwas, at airflow, magpa-ResBakuna na!

Hikayatin na rin ang buong pamilya, lalo na sina lolo�t lola, dahil protektado ang pasko ng pamilyang bakunado! ?

#RESBAKUNA
#LigtasChristmas https://t.co/X8jwkT1wZx",,,0,1.4696334257745e+18
26,26,2021-12-11 15:01:14,Ministry of Health - BARMM,1.26528995093041e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"APAT na araw nalang, Bayanihan Bakunahan sa Bangsamoro Part 2 na po. 
December 15,16 and 17, 2021.
#bayanihanbakunahan
#HeroesGetVaxxed
#resbakuna
#BayaniAngBakunado
#BakunaBayaniTayo
#ResbakunaSaPasko
#bangsamorogovernment
#MOHBARMM https://t.co/jvw64JWAj4",,,0,1.46956290433289e+18
27,27,2021-12-11 14:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Dumadami na ang kabataang nababakunahan sa Brgy. Baras, San Miguel, Surigao del Sur.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/oiZz2zJ0ze",,,0,1.46955504414406e+18
28,28,2021-12-11 12:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Ipinagmalaki ni Provincial Administrator Esmeraldo Raymundo na lumampas pa sa target  ang bilang ng nabakunahan sa Surigao del Sur sa idinaos na Bayanihan, Bakunahan.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/Iz21tfUtm3",,,0,1.46952484633787e+18
29,29,2021-12-11 11:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Basahin ang target na bilang ng lokal na pamahalaan ng Surigao Del Sur sa ikalawang round ng Bayanihan Bakunahan

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/WyvLhaP11C",,,0,1.46950974726716e+18
30,30,2021-12-11 10:40:27,Shas Fuentecilla,2780260122.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,RT @PIADesk: Inihayag ni Surigao Del Sur Provincial Adminstrator Esmeraldo Raymundo ang naging problema nila sa pagbabakuna at kung paano n�,,,1,1.46949727588621e+18
31,31,2021-12-11 10:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Inihayag ni Surigao Del Sur Provincial Adminstrator Esmeraldo Raymundo ang naging problema nila sa pagbabakuna at kung paano nila niresolba ito

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/uPEtFuLVqa",,,1,1.46949464781067e+18
32,32,2021-12-11 09:23:28,Roger Aquilesca,1.46373556660892e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17,�",,,153,1.46947790309232e+18
33,33,2021-12-11 06:00:01,Navotas City,150876668.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"NAVOBAKUNA | Sa tala ng ating City Health Office, 187,187 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 167,423 na ang nakakumpleto ng dalawang doses at 4,905 na ang nakatanggap ng booster.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/acgVeUeEls",,,0,1.46942670261919e+18
34,34,2021-12-11 03:18:07,Yuan Joong,4693237140.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @ntfcovid19ph: �Buong Pilipinas po ito, wala pong pinipili. Ito ay whole-of-government approach na lahat po ng ahensya ng gobyerno ay in�",,,4,1.46938596118457e+18
35,35,2021-12-10 21:51:35,bbmsara uniteam2022,3288736278.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @PIADesk: Mga lugar sa NCR Plus 8, nakamit na ang herd immunity laban sa COVID-19 dahil sa tuloy-tuloy na pagbabakuna.
 
#RESBAKUNA #BID�",,,1,1.46930378533622e+18
36,36,2021-12-10 21:07:28,Batangas PIO Capitol,746260297.0,batspiocapitol,746260297.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Isinagawa ang naturang aktibidad ngayong araw, ika-10 ng Disyembre 2021, sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng lalawigan.

#BatangasMagiting
#HugasIwasMask
#COVID19VaccinePH 
#RESBAKUNA
#BIDABakunation
#BIDASolusyon https://t.co/Zug5oEF9nq",,,0,1.46929268534977e+18
37,37,2021-12-10 19:00:20,Maripi De Guzman,1.28242286395002e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @PTVph: BASAHIN: Ayon kay National Task Force Against COVID-19 adviser Dr. Ted Herbosa, magpabakuna na sa darating na Bayanihan Bakunaha�",,,2,1.469260688598e+18
38,38,2021-12-10 18:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Pagpapatupad ng Mandatory vaccination sa Surigao del Sur, nilinaw na hindi paglabag sa human rights ng mga manggagawa.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/9dtN1OS4hJ",,,0,1.46925305474669e+18
39,39,2021-12-10 18:21:56,Navotas City,150876668.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"NAVOBAKUNA | Nagbukas po tayo ng slots bukas, 11 December 2021, para sa Pfizer booster para sa mga kabilang sa Priority Group A3 o mga may comorbidity. Magpa-schedule po sa https://t.co/85OtP5oadL

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/xbWMFOnBBH",,,0,1.46925102685516e+18
40,40,2021-12-10 18:19:27,RS ?? ?1st WEMBLY? ???? ?,3995107273.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Nitong Huwebes, Disyembre 9, sinabi ni @DOHgovph Sec. Francisco Duque III na target ng gobyerno na mabigyan ng kumple�",,,2,1.46925040221431e+18
41,41,2021-12-10 17:42:32,Nature's All About Channel,1.44789939182248e+18,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @PTVph: BASAHIN: Ayon kay National Task Force Against COVID-19 adviser Dr. Ted Herbosa, magpabakuna na sa darating na Bayanihan Bakunaha�",,,2,1.46924111114759e+18
42,42,2021-12-10 17:22:31,PTVph,16374906.0,PTVph,16374906.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Ukol naman sa pagbibigay ng booster shots sa mga menor de edad, ani Herbosa na ang pagbabago ng emergency use authorization ay depende sa aplikasyon ng Pfizer sa Food and Drug Administration.

#BayanihanBakunahan2
#RESBAKUNA 

(2/2)",,,0,1.4692360747277e+18
43,43,2021-12-10 17:21:54,PTVph,16374906.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"BASAHIN: Ayon kay National Task Force Against COVID-19 adviser Dr. Ted Herbosa, magpabakuna na sa darating na Bayanihan Bakunahan 2 ang mga hindi pa nagpapaturok upang maprotektahan laban sa coronavirus.

#BayanihanBakunahan2
#RESBAKUNA 

(1/2) https://t.co/7Lo5QsMW5I",,,2,1.46923591610325e+18
44,44,2021-12-10 16:00:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Mga lugar sa NCR Plus 8, nakamit na ang herd immunity laban sa COVID-19 dahil sa tuloy-tuloy na pagbabakuna.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/vRmKzxRY1D",,,1,1.46921530639237e+18
45,45,2021-12-10 12:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Ang lokal na pamahalaan na mismo ang pumupunta sa mga barangay upang mailapit ang bakuna sa mga mamamayan ng Surallah, South Cotabato.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/FNKncUv9Hl",,,0,1.46916245908063e+18
46,46,2021-12-10 12:02:26,Presidential Communications Operations Office,192849591.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"TINGNAN: Nitong Huwebes, Disyembre 9, kinilala ng pamahalaan ang mga nangungunang munisipalidad, lalawigan, at rehiyon na may mataas na bilang ng mga naiturok na COVID-19 doses sa unang 'Bayanihan, Bakunahan' National COVID-19 Vaccination Days.

#BayanihanBakunahan
#Resbakuna https://t.co/eRabR1Yzh6",,,1,1.46915552305676e+18
47,47,2021-12-10 11:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Inihayag ni Vice Mayor Pinky Divinagracia na maganda ang resulta ng kampanya ng pamahalaan kaya maraming nabakunahan sa Surallah, South Cotabato

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/CEgAtoatfE",,,0,1.46914735852496e+18
48,48,2021-12-10 11:05:56,Presidential Communications Operations Office,192849591.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"TINGNAN: Nitong Huwebes, Disyembre 9, sinabi ni @DOHgovph Sec. Francisco Duque III na target ng gobyerno na mabigyan ng kumpletong bakuna ang 90 pursyento ng kabuuang populasyon ng bansa bago mag Hunyo 2022.

#workingPCOO
#WeRiseAsOne
#RESBAKUNA+ https://t.co/BWlOmnBj04",,,2,1.4691413031415e+18
49,49,2021-12-10 08:20:35,Ange? ?? ?,2476426472.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @ph_opafa: WATCH: Tuloy ang #ResBakuna as an addt�l ?.??? ????? of GPH-procured Pfizer vaccines arrived today, Dec.8! Basta sama-sama�t�",,,3,1.46909969156057e+18
50,50,2021-12-10 08:19:22,Navotas City,150876668.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"NAVOBAKUNA | Sa tala ng ating City Health Office, 186,925 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 166,502 na ang nakakumpleto ng dalawang doses at 4,651 na ang nakatanggap ng booster.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/cvNzqIawge",,,0,1.46909938412614e+18
51,51,2021-12-10 07:08:49,eugene enguero,1.26509616961031e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17,�",,,153,1.46908162880297e+18
52,52,2021-12-10 06:40:09,touch�,66289763.0,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"RT @ntfcovid19ph: �Buong Pilipinas po ito, wala pong pinipili. Ito ay whole-of-government approach na lahat po ng ahensya ng gobyerno ay in�",,,4,1.46907441449943e+18
53,53,2021-12-10 06:38:32,Fredy Domingo,1.46345360417446e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17,�",,,153,1.46907401010101e+18
54,54,2021-12-10 05:35:12,Melbert Dela Cerna,1.4636225901031e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17,�",,,153,1.46905807146485e+18
55,55,2021-12-10 05:25:58,dhel guilas,264597117.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"RT @pcoogov: TINGNAN: Sinabi ni @ntfcovid19ph Chief Implementer and Vaccine Czar, Sec. Carlito Galvez Jr. na malapit nang maabot ng bansa a�",,,4,1.46905574541291e+18
56,56,2021-12-09 23:55:46,Teddy Herbosa MD,24702057.0,,-1.0,tl,<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>,"RT @ntfcovid19ph: �Buong Pilipinas po ito, wala pong pinipili. Ito ay whole-of-government approach na lahat po ng ahensya ng gobyerno ay in�",,,4,1.46897265066419e+18
57,57,2021-12-09 21:40:38,Macarthur Tating,1.46852798957109e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17,�",,,153,1.46893864078947e+18
58,58,2021-12-09 21:30:00,PIA Desk,525171812.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"Sa 2nd batch ng Bayanihan Bakunahan, mismong LGU na ang magpupunta sa mga barangay nila sa Surallah, South Cotabato.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/etfSRhpG8g",,,0,1.46893596629536e+18
59,59,2021-12-09 21:06:36,R????? O????A ?,1293782659.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @batspiocapitol: Isinasagawa ang naturang aktibidad sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng l�",,,1,1.46893007629303e+18
60,60,2021-12-09 20:41:39,Alan p. Esguerra,1.24091799694976e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @ntfcovid19ph: �Buong Pilipinas po ito, wala pong pinipili. Ito ay whole-of-government approach na lahat po ng ahensya ng gobyerno ay in�",,,4,1.4689237964762e+18
61,61,2021-12-09 19:26:05,@Jesus christ is a live,1.44507697659153e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Sinabi ni @ntfcovid19ph Chief Implementer and Vaccine Czar, Sec. Carlito Galvez Jr. na malapit nang maabot ng bansa a�",,,4,1.46890477982099e+18
62,62,2021-12-09 19:23:16,Ellen Mu�oz,4873608438.0,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @pcoogov: TINGNAN: Sinabi ni @ntfcovid19ph Chief Implementer and Vaccine Czar, Sec. Carlito Galvez Jr. na malapit nang maabot ng bansa a�",,,4,1.46890407064806e+18
63,63,2021-12-09 19:22:46,Presidential Communications Operations Office,192849591.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"TINGNAN: Sinabi ni @ntfcovid19ph Chief Implementer and Vaccine Czar, Sec. Carlito Galvez Jr. na malapit nang maabot ng bansa ang unang tagumpay nito kapag nakumpleto na ang bakuna ng 54 na milyong indibidwal bago matapos ang taon.

#BayanihanBakunahan
#Resbakuna 
#workingPCOO https://t.co/dSfLxv5NSC",,,4,1.46890394620289e+18
64,64,2021-12-09 19:15:02,Batangas PIO Capitol,746260297.0,batspiocapitol,746260297.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Isinasagawa ang naturang aktibidad sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng lalawigan.
December 9, 2021

#BatangasMagiting
#HandaIngatMagiting 
#HugasIwasMask
#COVID19VaccinePH 
#RESBAKUNA
#BIDABakunation
#BIDASolusyon https://t.co/8oJBXWMn2X",,,1,1.46890200038574e+18
65,65,2021-12-09 17:49:47,Navotas City,150876668.0,Navotas_City,150876668.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"Tatlong sites din ang binuksan para sa mga naka-schedule ng 2nd dose ng Astrazeneca at mga nag-walk in para sa 1st o booster dose ng parehong bakuna. 

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/RF4ZDl2h1W",,,0,1.46888054886121e+18
66,66,2021-12-09 17:33:38,@Jesus christ is a live,1.44507697659153e+18,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,RT @pcoogov: TINGNAN: Mahigit isang milyong doses ng Pfizer vaccines na binili ng gobyerno sa pamamagitan ng ADB ang dumating sa bansa nito�,,,4,1.46887648339325e+18
67,67,2021-12-09 17:28:46,Seraj Al-salem,1.43629183050569e+18,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,RT @pcoogov: TINGNAN: Mahigit isang milyong doses ng Pfizer vaccines na binili ng gobyerno sa pamamagitan ng ADB ang dumating sa bansa nito�,,,4,1.46887525888739e+18
68,68,2021-12-09 17:05:42,Presidential Communications Operations Office,192849591.0,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"TINGNAN: Mahigit isang milyong doses ng Pfizer vaccines na binili ng gobyerno sa pamamagitan ng ADB ang dumating sa bansa nitong Disyembre 8, 2021.

#COVID19PH
#WeRiseAsOne
#RESBAKUNA+
#workingPCOO https://t.co/GiILtwraoJ",,,4,1.4688694524399e+18
